coid,zdate
9930,2019-03-07
9930,2019-04-10
9930,2019-05-10
9930,2019-06-06
9930,2019-07-10
9930,2019-08-08
9930,2019-09-09
9930,2019-10-08
9930,2019-11-08
9930,2019-12-09
9930,2020-01-09
9930,2020-02-15
9930,2020-03-10
9930,2020-04-09
9929,2019-01-09
9929,2019-02-15
9929,2019-03-08
9929,2019-04-09
9929,2019-05-09
9929,2019-06-06
9929,2019-07-09
9929,2019-08-08
9929,2019-09-09
9929,2019-10-08
9929,2019-11-08
9929,2019-12-09
9929,2020-01-09
9929,2020-02-07
9929,2020-03-10
9929,2020-04-09
9928,2019-01-10
9928,2019-02-15
9928,2019-03-08
9928,2019-04-10
9928,2019-05-10
9928,2019-06-10
9928,2019-07-10
9928,2019-08-08
9928,2019-09-10
9928,2019-10-09
9928,2019-11-08
9928,2019-12-10
9928,2020-01-10
9928,2020-02-10
9928,2020-03-10
9928,2020-04-10
9927,2019-01-10
9927,2019-02-15
9927,2019-03-08
9927,2019-04-10
9927,2019-05-10
9927,2019-06-10
9927,2019-07-10
9927,2019-08-09
9927,2019-09-10
9927,2019-10-09
9927,2019-11-08
9927,2019-12-10
9927,2020-01-10
9927,2020-02-10
9927,2020-03-10
9927,2020-04-10
9926,2019-01-09
9926,2019-02-15
9926,2019-03-08
9926,2019-04-10
9926,2019-05-10
9926,2019-06-10
9926,2019-07-09
9926,2019-08-08
9926,2019-09-09
9926,2019-10-09
9926,2019-11-08
9926,2019-12-09
9926,2020-01-10
9926,2020-02-11
9926,2020-03-09
9926,2020-04-09
9925,2019-01-10
9925,2019-02-15
9925,2019-03-08
9925,2019-04-10
9925,2019-05-10
9925,2019-06-10
9925,2019-07-10
9925,2019-08-08
9925,2019-09-10
9925,2019-10-09
9925,2019-11-08
9925,2019-12-10
9925,2020-01-10
9925,2020-02-10
9925,2020-03-10
9925,2020-04-10
9924,2019-01-10
9924,2019-02-14
9924,2019-03-08
9924,2019-04-10
9924,2019-05-09
9924,2019-06-10
9924,2019-07-09
9924,2019-08-09
9924,2019-09-10
9924,2019-10-09
9924,2019-11-08
9924,2019-12-10
9924,2020-01-10
9924,2020-02-10
9924,2020-03-09
9924,2020-04-10
9921,2019-01-10
9921,2019-02-15
9921,2019-03-11
9921,2019-04-10
9921,2019-05-09
9921,2019-06-10
9921,2019-07-10
9921,2019-08-12
9921,2019-09-10
9921,2019-10-14
9921,2019-11-11
9921,2019-12-10
9921,2020-01-10
9921,2020-02-15
9921,2020-03-10
9921,2020-04-10
9919,2019-01-10
9919,2019-02-15
9919,2019-03-11
9919,2019-04-10
9919,2019-05-10
9919,2019-06-10
9919,2019-07-09
9919,2019-08-12
9919,2019-09-10
9919,2019-10-14
9919,2019-11-07
9919,2019-12-09
9919,2020-01-10
9919,2020-02-14
9919,2020-03-10
9919,2020-04-10
9918,2019-01-09
9918,2019-02-14
9918,2019-03-08
9918,2019-04-10
9918,2019-05-09
9918,2019-06-10
9918,2019-07-05
9918,2019-08-07
9918,2019-09-06
9918,2019-10-05
9918,2019-11-08
9918,2019-12-09
9918,2020-01-08
9918,2020-02-07
9918,2020-03-06
9918,2020-04-09
9917,2019-01-09
9917,2019-02-15
9917,2019-03-08
9917,2019-04-09
9917,2019-05-08
9917,2019-06-10
9917,2019-07-08
9917,2019-08-08
9917,2019-09-06
9917,2019-10-08
9917,2019-11-08
9917,2019-12-09
9917,2020-01-09
9917,2020-02-10
9917,2020-03-10
9917,2020-04-10
9914,2019-01-10
9914,2019-02-15
9914,2019-03-08
9914,2019-04-10
9914,2019-05-10
9914,2019-06-10
9914,2019-07-10
9914,2019-08-08
9914,2019-09-10
9914,2019-10-09
9914,2019-11-08
9914,2019-12-10
9914,2020-01-10
9914,2020-02-13
9914,2020-03-10
9914,2020-04-10
9912,2019-01-10
9912,2019-02-15
9912,2019-03-08
9912,2019-04-10
9912,2019-05-09
9912,2019-06-10
9912,2019-07-09
9912,2019-08-08
9912,2019-09-10
9912,2019-10-09
9912,2019-11-07
9912,2019-12-09
9912,2020-01-10
9912,2020-02-12
9912,2020-03-10
9912,2020-04-10
9911,2019-01-07
9911,2019-02-14
9911,2019-03-07
9911,2019-04-09
9911,2019-05-07
9911,2019-06-10
9911,2019-07-09
9911,2019-08-09
9911,2019-09-09
9911,2019-10-09
9911,2019-11-08
9911,2019-12-09
9911,2020-01-09
9911,2020-02-12
9911,2020-03-09
9911,2020-04-08
9910,2019-01-09
9910,2019-02-11
9910,2019-03-11
9910,2019-04-09
9910,2019-05-09
9910,2019-06-10
9910,2019-07-09
9910,2019-08-09
9910,2019-09-09
9910,2019-10-09
9910,2019-11-11
9910,2019-12-09
9910,2020-01-09
9910,2020-02-10
9910,2020-03-09
9910,2020-04-09
9908,2019-01-10
9908,2019-02-15
9908,2019-03-11
9908,2019-04-10
9908,2019-05-08
9908,2019-06-10
9908,2019-07-10
9908,2019-08-12
9908,2019-09-10
9908,2019-10-09
9908,2019-11-11
9908,2019-12-10
9908,2020-01-10
9908,2020-02-10
9908,2020-03-10
9908,2020-04-10
9907,2019-01-10
9907,2019-02-15
9907,2019-03-08
9907,2019-04-10
9907,2019-05-10
9907,2019-06-10
9907,2019-07-10
9907,2019-08-09
9907,2019-09-10
9907,2019-10-09
9907,2019-11-08
9907,2019-12-10
9907,2020-01-10
9907,2020-02-10
9907,2020-03-10
9907,2020-04-10
9906,2019-01-09
9906,2019-02-12
9906,2019-03-07
9906,2019-04-08
9906,2019-05-06
9906,2019-06-04
9906,2019-07-09
9906,2019-08-06
9906,2019-09-04
9906,2019-10-08
9906,2019-11-07
9906,2019-12-09
9906,2020-01-09
9906,2020-02-07
9906,2020-03-10
9906,2020-04-08
9905,2019-01-10
9905,2019-02-15
9905,2019-03-08
9905,2019-04-10
9905,2019-05-10
9905,2019-06-10
9905,2019-07-10
9905,2019-08-12
9905,2019-09-10
9905,2019-10-09
9905,2019-11-08
9905,2019-12-09
9905,2020-01-10
9905,2020-02-14
9905,2020-03-09
9905,2020-04-09
9904,2019-01-10
9904,2019-02-15
9904,2019-03-11
9904,2019-04-10
9904,2019-05-10
9904,2019-06-10
9904,2019-07-10
9904,2019-08-12
9904,2019-09-10
9904,2019-10-14
9904,2019-11-11
9904,2019-12-10
9904,2020-01-10
9904,2020-02-14
9904,2020-03-10
9904,2020-04-09
9902,2019-01-10
9902,2019-02-14
9902,2019-03-08
9902,2019-04-10
9902,2019-05-09
9902,2019-06-10
9902,2019-07-10
9902,2019-08-12
9902,2019-09-10
9902,2019-10-09
9902,2019-11-08
9902,2019-12-09
9902,2020-01-10
9902,2020-02-10
9902,2020-03-10
9902,2020-04-10
8996,2019-01-08
8996,2019-02-14
8996,2019-03-07
8996,2019-04-08
8996,2019-05-08
8996,2019-06-06
8996,2019-07-08
8996,2019-08-08
8996,2019-09-09
8996,2019-10-08
8996,2019-11-08
8996,2019-12-09
8996,2020-01-08
8996,2020-02-07
8996,2020-03-09
8996,2020-04-08
8940,2019-01-04
8940,2019-02-13
8940,2019-03-05
8940,2019-04-03
8940,2019-05-06
8940,2019-06-05
8940,2019-07-05
8940,2019-08-05
8940,2019-09-05
8940,2019-10-05
8940,2019-11-05
8940,2019-12-05
8940,2020-01-06
8940,2020-02-10
8940,2020-03-10
8940,2020-04-10
8926,2019-01-10
8926,2019-02-15
8926,2019-03-08
8926,2019-04-10
8926,2019-05-10
8926,2019-06-10
8926,2019-07-09
8926,2019-08-12
8926,2019-09-09
8926,2019-10-09
8926,2019-11-07
8926,2019-12-10
8926,2020-01-10
8926,2020-02-10
8926,2020-03-10
8926,2020-04-09
8497,2019-01-10
8497,2019-02-15
8497,2019-03-11
8497,2019-04-10
8497,2019-05-10
8497,2019-06-10
8497,2019-07-10
8497,2019-08-12
8497,2019-09-10
8497,2019-10-14
8497,2019-11-11
8497,2019-12-09
8497,2020-01-09
8497,2020-02-10
8497,2020-03-10
8497,2020-04-09
8481,2019-01-09
8481,2019-02-15
8481,2019-03-08
8481,2019-04-10
8481,2019-05-10
8481,2019-06-10
8481,2019-07-09
8481,2019-08-09
8481,2019-09-10
8481,2019-10-09
8481,2019-11-08
8481,2019-12-10
8481,2020-01-10
8481,2020-02-10
8481,2020-03-10
8481,2020-04-10
8478,2019-01-10
8478,2019-02-15
8478,2019-03-08
8478,2019-04-10
8478,2019-05-10
8478,2019-06-10
8478,2019-07-10
8478,2019-08-09
8478,2019-09-10
8478,2019-10-09
8478,2019-11-08
8478,2019-12-10
8478,2020-01-10
8478,2020-02-10
8478,2020-03-10
8478,2020-04-10
8473,2019-01-10
8473,2019-02-15
8473,2019-03-08
8473,2019-04-10
8473,2019-05-10
8473,2019-06-10
8473,2019-07-10
8473,2019-08-08
8473,2019-09-10
8473,2019-10-09
8473,2019-11-08
8473,2019-12-09
8473,2020-01-10
8473,2020-02-10
8473,2020-03-10
8473,2020-04-10
8464,2019-01-10
8464,2019-02-15
8464,2019-03-08
8464,2019-04-10
8464,2019-05-10
8464,2019-06-10
8464,2019-07-10
8464,2019-08-09
8464,2019-09-10
8464,2019-10-09
8464,2019-11-08
8464,2019-12-10
8464,2020-01-10
8464,2020-02-10
8464,2020-03-10
8464,2020-04-10
8463,2019-01-10
8463,2019-02-15
8463,2019-03-11
8463,2019-04-10
8463,2019-05-10
8463,2019-06-10
8463,2019-07-10
8463,2019-08-12
8463,2019-09-10
8463,2019-10-09
8463,2019-11-11
8463,2019-12-10
8463,2020-01-10
8463,2020-02-10
8463,2020-03-10
8463,2020-04-10
8462,2019-01-10
8462,2019-02-14
8462,2019-03-08
8462,2019-04-10
8462,2019-05-09
8462,2019-06-10
8462,2019-07-10
8462,2019-08-12
8462,2019-09-09
8462,2019-10-10
8462,2019-11-08
8462,2019-12-10
8462,2020-01-09
8462,2020-02-10
8462,2020-03-09
8462,2020-04-10
8454,2019-01-10
8454,2019-02-15
8454,2019-03-08
8454,2019-04-10
8454,2019-05-10
8454,2019-06-10
8454,2019-07-10
8454,2019-08-12
8454,2019-09-10
8454,2019-10-09
8454,2019-11-11
8454,2019-12-10
8454,2020-01-10
8454,2020-02-10
8454,2020-03-10
8454,2020-04-10
8443,2019-01-10
8443,2019-02-15
8443,2019-03-11
8443,2019-04-10
8443,2019-05-10
8443,2019-06-10
8443,2019-07-10
8443,2019-08-08
8443,2019-09-10
8443,2019-10-09
8443,2019-11-08
8443,2019-12-10
8443,2020-01-10
8443,2020-02-10
8443,2020-03-10
8443,2020-04-10
8422,2019-01-07
8422,2019-02-14
8422,2019-03-06
8422,2019-04-08
8422,2019-05-06
8422,2019-06-06
8422,2019-07-08
8422,2019-08-06
8422,2019-09-06
8422,2019-10-07
8422,2019-11-05
8422,2019-12-06
8422,2020-01-06
8422,2020-02-06
8422,2020-03-06
8422,2020-04-06
8374,2019-01-10
8374,2019-02-13
8374,2019-03-08
8374,2019-04-09
8374,2019-05-10
8374,2019-06-10
8374,2019-07-09
8374,2019-08-08
8374,2019-09-06
8374,2019-10-09
8374,2019-11-04
8374,2019-12-03
8374,2020-01-03
8374,2020-02-04
8374,2020-03-03
8374,2020-04-06
8367,2019-01-08
8367,2019-02-15
8367,2019-03-11
8367,2019-04-10
8367,2019-05-08
8367,2019-06-06
8367,2019-07-10
8367,2019-08-06
8367,2019-09-10
8367,2019-10-07
8367,2019-11-08
8367,2019-12-09
8367,2020-01-10
8367,2020-02-07
8367,2020-03-09
8367,2020-04-09
8341,2019-01-07
8341,2019-02-14
8341,2019-03-07
8341,2019-04-09
8341,2019-05-09
8341,2019-06-06
8341,2019-07-05
8341,2019-08-06
8341,2019-09-06
8341,2019-10-07
8341,2019-11-08
8341,2019-12-06
8341,2020-01-08
8341,2020-02-07
8341,2020-03-09
8341,2020-04-09
8271,2019-01-08
8271,2019-02-14
8271,2019-03-08
8271,2019-04-09
8271,2019-05-08
8271,2019-06-06
8271,2019-07-08
8271,2019-08-07
8271,2019-09-06
8271,2019-10-07
8271,2019-11-07
8271,2019-12-06
8271,2020-01-08
8271,2020-02-07
8271,2020-03-06
8271,2020-04-09
8261,2019-01-08
8261,2019-02-13
8261,2019-03-08
8261,2019-04-08
8261,2019-05-07
8261,2019-06-10
8261,2019-07-05
8261,2019-08-06
8261,2019-09-06
8261,2019-10-07
8261,2019-11-06
8261,2019-12-06
8261,2020-01-07
8261,2020-02-06
8261,2020-03-06
8261,2020-04-08
8249,2019-01-09
8249,2019-02-13
8249,2019-03-07
8249,2019-04-09
8249,2019-05-09
8249,2019-06-10
8249,2019-07-10
8249,2019-08-08
8249,2019-09-10
8249,2019-10-09
8249,2019-11-08
8249,2019-12-10
8249,2020-01-09
8249,2020-02-10
8249,2020-03-10
8249,2020-04-10
8222,2019-01-09
8222,2019-02-14
8222,2019-03-08
8222,2019-04-09
8222,2019-05-09
8222,2019-06-06
8222,2019-07-09
8222,2019-08-09
8222,2019-09-09
8222,2019-10-09
8222,2019-11-08
8222,2019-12-09
8222,2020-01-09
8222,2020-02-07
8222,2020-03-09
8222,2020-04-09
8215,2019-01-03
8215,2019-02-11
8215,2019-03-05
8215,2019-04-02
8215,2019-05-03
8215,2019-06-04
8215,2019-07-02
8215,2019-08-02
8215,2019-09-03
8215,2019-10-02
8215,2019-11-04
8215,2019-12-03
8215,2020-01-03
8215,2020-02-04
8215,2020-03-03
8215,2020-04-06
8213,2019-01-10
8213,2019-02-15
8213,2019-03-09
8213,2019-04-10
8213,2019-05-10
8213,2019-06-10
8213,2019-07-10
8213,2019-08-09
8213,2019-09-10
8213,2019-10-10
8213,2019-11-08
8213,2019-12-10
8213,2020-01-10
8213,2020-02-14
8213,2020-03-10
8213,2020-04-10
8210,2019-01-08
8210,2019-02-13
8210,2019-03-08
8210,2019-04-09
8210,2019-05-08
8210,2019-06-06
8210,2019-07-04
8210,2019-08-07
8210,2019-09-06
8210,2019-10-07
8210,2019-11-07
8210,2019-12-06
8210,2020-01-09
8210,2020-02-06
8210,2020-03-06
8210,2020-04-08
8201,2019-01-10
8201,2019-02-15
8201,2019-03-08
8201,2019-04-10
8201,2019-05-10
8201,2019-06-10
8201,2019-07-10
8201,2019-08-12
8201,2019-09-10
8201,2019-10-14
8201,2019-11-08
8201,2019-12-10
8201,2020-01-10
8201,2020-02-10
8201,2020-03-10
8201,2020-04-10
8163,2019-01-07
8163,2019-02-12
8163,2019-03-07
8163,2019-04-08
8163,2019-05-07
8163,2019-06-06
8163,2019-07-04
8163,2019-08-06
8163,2019-09-05
8163,2019-10-04
8163,2019-11-06
8163,2019-12-05
8163,2020-01-07
8163,2020-02-06
8163,2020-03-05
8163,2020-04-08
8150,2019-01-10
8150,2019-02-15
8150,2019-03-07
8150,2019-04-10
8150,2019-05-07
8150,2019-06-10
8150,2019-07-10
8150,2019-08-06
8150,2019-09-06
8150,2019-10-09
8150,2019-11-06
8150,2019-12-10
8150,2020-01-08
8150,2020-02-10
8150,2020-03-09
8150,2020-04-09
8131,2019-01-07
8131,2019-02-13
8131,2019-03-06
8131,2019-04-08
8131,2019-05-06
8131,2019-06-06
8131,2019-07-08
8131,2019-08-06
8131,2019-09-06
8131,2019-10-07
8131,2019-11-06
8131,2019-12-06
8131,2020-01-06
8131,2020-02-06
8131,2020-03-06
8131,2020-04-06
8114,2019-01-10
8114,2019-02-15
8114,2019-03-08
8114,2019-04-10
8114,2019-05-10
8114,2019-06-10
8114,2019-07-10
8114,2019-08-12
8114,2019-09-09
8114,2019-10-09
8114,2019-11-11
8114,2019-12-10
8114,2020-01-10
8114,2020-02-10
8114,2020-03-09
8114,2020-04-10
8112,2019-01-08
8112,2019-02-14
8112,2019-03-07
8112,2019-04-09
8112,2019-05-07
8112,2019-06-06
8112,2019-07-05
8112,2019-08-07
8112,2019-09-06
8112,2019-10-07
8112,2019-11-07
8112,2019-12-09
8112,2020-01-08
8112,2020-02-10
8112,2020-03-05
8112,2020-04-07
8110,2019-01-09
8110,2019-02-15
8110,2019-03-08
8110,2019-04-10
8110,2019-05-10
8110,2019-06-06
8110,2019-07-10
8110,2019-08-09
8110,2019-09-06
8110,2019-10-09
8110,2019-11-09
8110,2019-12-06
8110,2020-01-10
8110,2020-02-07
8110,2020-03-09
8110,2020-04-10
8105,2019-01-09
8105,2019-02-14
8105,2019-03-08
8105,2019-04-09
8105,2019-05-09
8105,2019-06-10
8105,2019-07-09
8105,2019-08-08
8105,2019-09-09
8105,2019-10-09
8105,2019-11-07
8105,2019-12-09
8105,2020-01-09
8105,2020-02-11
8105,2020-03-09
8105,2020-04-09
8104,2019-01-08
8104,2019-02-11
8104,2019-03-08
8104,2019-04-08
8104,2019-05-08
8104,2019-06-06
8104,2019-07-09
8104,2019-08-08
8104,2019-09-09
8104,2019-10-08
8104,2019-11-08
8104,2019-12-08
8104,2020-01-09
8104,2020-02-07
8104,2020-03-06
8104,2020-04-09
8103,2019-01-09
8103,2019-02-14
8103,2019-03-08
8103,2019-04-10
8103,2019-05-10
8103,2019-06-10
8103,2019-07-10
8103,2019-08-08
8103,2019-09-10
8103,2019-10-09
8103,2019-11-08
8103,2019-12-10
8103,2020-01-09
8103,2020-02-14
8103,2020-03-10
8103,2020-04-10
8101,2019-01-10
8101,2019-02-15
8101,2019-03-11
8101,2019-04-08
8101,2019-05-08
8101,2019-06-06
8101,2019-07-05
8101,2019-08-08
8101,2019-09-06
8101,2019-10-08
8101,2019-11-07
8101,2019-12-09
8101,2020-01-10
8101,2020-02-14
8101,2020-03-09
8101,2020-04-10
8081,2019-01-10
8081,2019-02-13
8081,2019-03-07
8081,2019-04-09
8081,2019-05-07
8081,2019-06-10
8081,2019-07-08
8081,2019-08-09
8081,2019-09-06
8081,2019-10-08
8081,2019-11-08
8081,2019-12-09
8081,2020-01-09
8081,2020-02-07
8081,2020-03-09
8081,2020-04-09
8072,2019-01-08
8072,2019-02-15
8072,2019-03-06
8072,2019-04-09
8072,2019-05-09
8072,2019-06-06
8072,2019-07-10
8072,2019-08-09
8072,2019-09-09
8072,2019-10-09
8072,2019-11-11
8072,2019-12-06
8072,2020-01-10
8072,2020-02-11
8072,2020-03-09
8072,2020-04-07
8070,2019-01-07
8070,2019-02-13
8070,2019-03-07
8070,2019-04-08
8070,2019-05-07
8070,2019-06-06
8070,2019-07-04
8070,2019-08-06
8070,2019-09-05
8070,2019-10-04
8070,2019-11-06
8070,2019-12-05
8070,2020-01-07
8070,2020-02-13
8070,2020-03-05
8070,2020-04-08
8046,2019-01-07
8046,2019-02-14
8046,2019-03-06
8046,2019-04-08
8046,2019-05-06
8046,2019-06-06
8046,2019-07-05
8046,2019-08-06
8046,2019-09-06
8046,2019-10-07
8046,2019-11-06
8046,2019-12-06
8046,2020-01-06
8046,2020-02-05
8046,2020-03-06
8046,2020-04-06
8039,2019-01-04
8039,2019-02-13
8039,2019-03-05
8039,2019-04-08
8039,2019-05-06
8039,2019-06-05
8039,2019-07-05
8039,2019-08-05
8039,2019-09-05
8039,2019-10-07
8039,2019-11-05
8039,2019-12-05
8039,2020-01-06
8039,2020-02-06
8039,2020-03-05
8039,2020-04-06
8033,2019-01-07
8033,2019-02-14
8033,2019-03-07
8033,2019-04-09
8033,2019-05-09
8033,2019-06-10
8033,2019-07-08
8033,2019-08-08
8033,2019-09-09
8033,2019-10-07
8033,2019-11-08
8033,2019-12-09
8033,2020-01-09
8033,2020-02-10
8033,2020-03-09
8033,2020-04-09
8028,2019-01-07
8028,2019-02-11
8028,2019-03-05
8028,2019-04-08
8028,2019-05-06
8028,2019-06-05
8028,2019-07-05
8028,2019-08-05
8028,2019-09-05
8028,2019-10-05
8028,2019-11-05
8028,2019-12-05
8028,2020-01-06
8028,2020-02-05
8028,2020-03-05
8028,2020-04-06
8021,2019-01-08
8021,2019-02-12
8021,2019-03-08
8021,2019-04-09
8021,2019-05-09
8021,2019-06-06
8021,2019-07-05
8021,2019-08-07
8021,2019-09-06
8021,2019-10-07
8021,2019-11-07
8021,2019-12-05
8021,2020-01-07
8021,2020-02-14
8021,2020-03-06
8021,2020-04-09
8016,2019-01-07
8016,2019-02-15
8016,2019-03-06
8016,2019-04-08
8016,2019-05-06
8016,2019-06-06
8016,2019-07-08
8016,2019-08-06
8016,2019-09-06
8016,2019-10-07
8016,2019-11-06
8016,2019-12-06
8016,2020-01-06
8016,2020-02-06
8016,2020-03-06
8016,2020-04-06
8011,2019-01-09
8011,2019-02-13
8011,2019-03-07
8011,2019-04-09
8011,2019-05-09
8011,2019-06-06
8011,2019-07-09
8011,2019-08-08
8011,2019-09-09
8011,2019-10-09
8011,2019-11-08
8011,2019-12-09
8011,2020-01-10
8011,2020-02-10
8011,2020-03-09
8011,2020-04-09
6715,2019-01-10
6715,2019-02-14
6715,2019-03-08
6715,2019-04-10
6715,2019-05-09
6715,2019-06-10
6715,2019-07-10
6715,2019-08-08
6715,2019-09-06
6715,2019-10-09
6715,2019-11-08
6715,2019-12-06
6715,2020-01-08
6715,2020-02-12
6715,2020-03-09
6715,2020-04-08
6706,2019-01-10
6706,2019-02-15
6706,2019-03-08
6706,2019-04-10
6706,2019-05-09
6706,2019-06-10
6706,2019-07-10
6706,2019-08-09
6706,2019-09-10
6706,2019-10-09
6706,2019-11-08
6706,2019-12-10
6706,2020-01-10
6706,2020-02-10
6706,2020-03-10
6706,2020-04-10
6698,2019-01-09
6698,2019-02-14
6698,2019-03-08
6698,2019-04-09
6698,2019-05-09
6698,2019-06-06
6698,2019-07-09
6698,2019-08-08
6698,2019-09-09
6698,2019-10-08
6698,2019-11-08
6698,2019-12-09
6698,2020-01-09
6698,2020-02-07
6698,2020-03-09
6698,2020-04-09
6674,2019-01-09
6674,2019-02-14
6674,2019-03-08
6674,2019-04-09
6674,2019-05-09
6674,2019-06-10
6674,2019-07-09
6674,2019-08-12
6674,2019-09-09
6674,2019-10-09
6674,2019-11-08
6674,2019-12-09
6674,2020-01-09
6674,2020-02-10
6674,2020-03-09
6674,2020-04-09
6670,2019-01-09
6670,2019-02-13
6670,2019-03-08
6670,2019-04-10
6670,2019-05-10
6670,2019-06-06
6670,2019-07-04
6670,2019-08-06
6670,2019-09-06
6670,2019-10-08
6670,2019-11-07
6670,2019-12-06
6670,2020-01-07
6670,2020-02-13
6670,2020-03-04
6670,2020-04-07
6669,2019-01-09
6669,2019-02-14
6669,2019-03-08
6669,2019-04-09
6669,2019-05-09
6669,2019-06-06
6669,2019-07-09
6669,2019-08-09
6669,2019-09-09
6669,2019-10-09
6669,2019-11-08
6669,2019-12-09
6669,2020-01-09
6669,2020-02-10
6669,2020-03-09
6669,2020-04-09
6668,2019-01-10
6668,2019-02-15
6668,2019-03-08
6668,2019-04-10
6668,2019-05-10
6668,2019-06-10
